id,etiqueta,necesita_diff,segundos
f3-0262,fix,0,0.0
f3-0263,fix,1,0.0
f3-0264,fix,0,0.0
f3-0265,feat,0,0.0
f3-0266,refactor,0,0.0
f3-0267,ninguna,0,0.0
f3-0268,feat,0,0.0
f3-0269,docs,0,0.0
f3-0270,feat,0,0.0
f3-0271,feat,0,0.0
f3-0272,feat,0,0.0
f3-0273,fix,0,0.0
f3-0274,feat,0,0.0
f3-0275,docs,0,0.0
f3-0276,fix,0,0.0
f3-0277,docs,0,0.0
f3-0278,ninguna,0,0.0
f3-0279,fix,1,0.0
f3-0280,feat,0,0.0
f3-0281,docs,0,0.0
f3-0282,fix,0,0.0
f3-0283,docs,0,0.0
f3-0284,ninguna,0,0.0
f3-0285,refactor,0,0.0
f3-0286,refactor,1,0.0
f3-0287,fix,0,0.0
f3-0288,refactor,0,0.0
f3-0289,ninguna,0,0.0
f3-0290,ninguna,0,0.0
f3-0291,ninguna,0,0.0
f3-0292,refactor,0,0.0
f3-0293,ninguna,0,0.0
f3-0294,docs,0,0.0
f3-0295,ninguna,0,0.0
f3-0296,feat,0,0.0
f3-0297,fix,0,0.0
f3-0298,ninguna,0,0.0
f3-0299,fix,0,0.0
f3-0300,feat,0,0.0
f3-0301,feat,0,0.0
f3-0302,docs,0,0.0
f3-0303,refactor,0,0.0
f3-0304,mixto,1,0.0
f3-0305,refactor,0,0.0
f3-0306,fix,0,0.0
f3-0307,docs,0,0.0
f3-0308,fix,0,0.0
f3-0309,mixto,1,0.0
f3-0310,docs,0,0.0
f3-0311,docs,0,0.0
f3-0312,feat,0,0.0
f3-0313,feat,0,0.0
f3-0314,feat,0,0.0
f3-0315,refactor,0,0.0
f3-0316,docs,0,0.0
f3-0317,docs,0,0.0
f3-0318,refactor,0,0.0
f3-0319,feat,0,0.0
f3-0320,docs,0,0.0
f3-0321,docs,0,0.0
f3-0322,docs,0,0.0
f3-0323,docs,0,0.0
f3-0324,refactor,0,0.0
f3-0325,feat,0,0.0
f3-0326,refactor,1,0.0
f3-0327,ninguna,0,0.0
f3-0328,feat,0,0.0
f3-0329,fix,1,0.0
f3-0330,ninguna,0,0.0
f3-0331,feat,0,0.0
f3-0332,fix,0,0.0
f3-0333,refactor,0,0.0
f3-0334,docs,0,0.0
f3-0335,refactor,0,0.0
f3-0336,feat,0,0.0
f3-0337,docs,0,0.0
f3-0338,ninguna,0,0.0
f3-0339,ninguna,0,0.0
f3-0340,docs,0,0.0
f3-0341,feat,0,0.0
f3-0342,refactor,0,0.0
f3-0343,refactor,0,0.0
f3-0344,docs,1,0.0
f3-0345,ninguna,0,0.0
f3-0346,feat,0,0.0
f3-0347,refactor,0,0.0
f3-0348,refactor,0,0.0
f3-0349,feat,0,0.0
f3-0350,feat,0,0.0
