id,prediccion,entrenado_sin
f3-0114,feat,(nada: repo ajeno)
f3-0115,fix,nuxt/nuxt
f3-0116,docs,(nada: repo ajeno)
f3-0117,docs,(nada: repo ajeno)
f3-0118,docs,(nada: repo ajeno)
f3-0119,fix,angular/angular-cli
f3-0120,refactor,angular/angular-cli
f3-0121,refactor,angular/angular-cli
f3-0122,docs,nuxt/nuxt
f3-0123,docs,(nada: repo ajeno)
f3-0124,docs,nuxt/nuxt
f3-0125,fix,(nada: repo ajeno)
f3-0126,docs,(nada: repo ajeno)
f3-0127,refactor,nuxt/nuxt
f3-0128,docs,nuxt/nuxt
f3-0129,feat,vitest-dev/vitest
f3-0130,refactor,(nada: repo ajeno)
f3-0131,feat,vitest-dev/vitest
f3-0132,fix,nuxt/nuxt
f3-0133,refactor,vitejs/vite
f3-0134,docs,(nada: repo ajeno)
f3-0135,fix,vitest-dev/vitest
f3-0136,refactor,(nada: repo ajeno)
f3-0137,feat,angular/angular-cli
f3-0138,docs,(nada: repo ajeno)
f3-0139,fix,angular/angular-cli
f3-0140,fix,angular/angular-cli
f3-0141,fix,(nada: repo ajeno)
f3-0142,fix,vitest-dev/vitest
f3-0143,refactor,vitest-dev/vitest
f3-0144,fix,(nada: repo ajeno)
f3-0145,feat,vitest-dev/vitest
f3-0146,feat,(nada: repo ajeno)
f3-0147,docs,(nada: repo ajeno)
f3-0148,fix,vitejs/vite
f3-0149,fix,(nada: repo ajeno)
f3-0150,feat,angular/angular-cli
f3-0151,feat,vitest-dev/vitest
f3-0152,refactor,(nada: repo ajeno)
f3-0153,docs,(nada: repo ajeno)
f3-0154,docs,angular/angular-cli
f3-0155,refactor,angular/angular-cli
f3-0156,docs,(nada: repo ajeno)
f3-0157,feat,nuxt/nuxt
f3-0158,fix,vitest-dev/vitest
f3-0159,refactor,(nada: repo ajeno)
f3-0160,fix,(nada: repo ajeno)
f3-0161,feat,vitest-dev/vitest
f3-0162,fix,(nada: repo ajeno)
f3-0163,docs,(nada: repo ajeno)
f3-0164,refactor,angular/angular-cli
f3-0165,docs,nuxt/nuxt
f3-0166,refactor,vitejs/vite
f3-0167,feat,vitejs/vite
f3-0168,refactor,(nada: repo ajeno)
f3-0169,fix,(nada: repo ajeno)
f3-0170,docs,(nada: repo ajeno)
f3-0171,refactor,vitest-dev/vitest
f3-0172,fix,(nada: repo ajeno)
f3-0173,fix,sveltejs/svelte
f3-0174,docs,nuxt/nuxt
f3-0175,feat,(nada: repo ajeno)
f3-0176,fix,(nada: repo ajeno)
f3-0177,docs,vitest-dev/vitest
f3-0178,fix,(nada: repo ajeno)
f3-0179,docs,vitest-dev/vitest
f3-0180,docs,(nada: repo ajeno)
f3-0181,fix,vitejs/vite
f3-0182,fix,(nada: repo ajeno)
f3-0183,docs,(nada: repo ajeno)
f3-0184,fix,vitejs/vite
f3-0185,docs,(nada: repo ajeno)
f3-0186,fix,nuxt/nuxt
f3-0187,fix,(nada: repo ajeno)
f3-0188,docs,(nada: repo ajeno)
f3-0189,fix,(nada: repo ajeno)
f3-0190,feat,(nada: repo ajeno)
f3-0191,fix,angular/angular-cli
f3-0192,fix,sveltejs/svelte
f3-0193,refactor,(nada: repo ajeno)
f3-0194,feat,(nada: repo ajeno)
f3-0195,docs,nuxt/nuxt
f3-0196,refactor,vitejs/vite
f3-0197,feat,nuxt/nuxt
f3-0198,fix,vitejs/vite
f3-0199,refactor,vitejs/vite
f3-0200,docs,(nada: repo ajeno)
f3-0201,fix,nuxt/nuxt
f3-0202,feat,nuxt/nuxt
f3-0203,docs,nuxt/nuxt
f3-0204,refactor,(nada: repo ajeno)
f3-0205,fix,vitest-dev/vitest
f3-0206,fix,vitejs/vite
f3-0207,fix,vitejs/vite
f3-0208,docs,(nada: repo ajeno)
f3-0209,refactor,angular/angular-cli
f3-0210,docs,vitejs/vite
f3-0211,docs,nuxt/nuxt
f3-0212,fix,(nada: repo ajeno)
f3-0213,fix,(nada: repo ajeno)
f3-0214,feat,vitest-dev/vitest
f3-0215,docs,(nada: repo ajeno)
f3-0216,feat,angular/angular-cli
f3-0217,fix,(nada: repo ajeno)
f3-0218,refactor,angular/angular-cli
f3-0219,fix,angular/angular-cli
f3-0220,feat,vitejs/vite
f3-0221,fix,(nada: repo ajeno)
f3-0222,refactor,(nada: repo ajeno)
f3-0223,docs,(nada: repo ajeno)
f3-0224,fix,angular/angular-cli
f3-0225,fix,(nada: repo ajeno)
f3-0226,docs,(nada: repo ajeno)
f3-0227,docs,(nada: repo ajeno)
f3-0228,refactor,vitejs/vite
f3-0229,docs,vitejs/vite
f3-0230,fix,angular/angular-cli
f3-0231,fix,angular/angular-cli
f3-0232,docs,nuxt/nuxt
f3-0233,refactor,(nada: repo ajeno)
f3-0234,docs,angular/angular-cli
f3-0235,fix,angular/angular-cli
f3-0236,refactor,angular/angular-cli
f3-0237,fix,(nada: repo ajeno)
f3-0238,docs,(nada: repo ajeno)
f3-0239,docs,angular/angular-cli
f3-0240,feat,vitejs/vite
f3-0241,refactor,vitest-dev/vitest
f3-0242,docs,(nada: repo ajeno)
f3-0243,refactor,angular/angular-cli
f3-0244,feat,(nada: repo ajeno)
f3-0245,fix,sveltejs/svelte
f3-0246,docs,sveltejs/svelte
f3-0247,fix,(nada: repo ajeno)
f3-0248,fix,(nada: repo ajeno)
f3-0249,fix,(nada: repo ajeno)
f3-0250,feat,vitejs/vite
f3-0251,feat,sveltejs/svelte
f3-0252,fix,sveltejs/svelte
f3-0253,feat,(nada: repo ajeno)
f3-0254,refactor,angular/angular-cli
f3-0255,fix,(nada: repo ajeno)
f3-0256,fix,(nada: repo ajeno)
f3-0257,fix,(nada: repo ajeno)
f3-0258,feat,(nada: repo ajeno)
f3-0259,refactor,(nada: repo ajeno)
f3-0260,fix,(nada: repo ajeno)
f3-0261,fix,sveltejs/svelte
f3-0262,fix,vitest-dev/vitest
f3-0263,fix,(nada: repo ajeno)
f3-0264,fix,(nada: repo ajeno)
f3-0265,fix,angular/angular-cli
f3-0266,refactor,angular/angular-cli
f3-0267,refactor,(nada: repo ajeno)
f3-0268,feat,vitejs/vite
f3-0269,docs,(nada: repo ajeno)
f3-0270,feat,nuxt/nuxt
f3-0271,fix,angular/angular-cli
f3-0272,feat,sveltejs/svelte
f3-0273,fix,(nada: repo ajeno)
f3-0274,feat,nuxt/nuxt
f3-0275,docs,vitest-dev/vitest
f3-0276,fix,sveltejs/svelte
f3-0277,docs,vitest-dev/vitest
f3-0278,refactor,angular/angular-cli
f3-0279,fix,(nada: repo ajeno)
f3-0280,docs,(nada: repo ajeno)
f3-0281,docs,(nada: repo ajeno)
f3-0282,fix,(nada: repo ajeno)
f3-0283,docs,vitejs/vite
f3-0284,docs,(nada: repo ajeno)
f3-0285,feat,vitest-dev/vitest
f3-0286,refactor,vitest-dev/vitest
f3-0287,fix,(nada: repo ajeno)
f3-0288,fix,nuxt/nuxt
f3-0289,docs,(nada: repo ajeno)
f3-0290,refactor,(nada: repo ajeno)
f3-0291,docs,(nada: repo ajeno)
f3-0292,fix,(nada: repo ajeno)
f3-0293,feat,(nada: repo ajeno)
f3-0294,docs,nuxt/nuxt
f3-0295,docs,(nada: repo ajeno)
f3-0296,feat,(nada: repo ajeno)
f3-0297,fix,(nada: repo ajeno)
f3-0298,refactor,(nada: repo ajeno)
f3-0299,fix,(nada: repo ajeno)
f3-0300,fix,(nada: repo ajeno)
f3-0301,docs,sveltejs/svelte
f3-0302,docs,(nada: repo ajeno)
f3-0303,refactor,angular/angular-cli
f3-0304,refactor,(nada: repo ajeno)
f3-0305,fix,(nada: repo ajeno)
f3-0306,refactor,nuxt/nuxt
f3-0307,docs,vitejs/vite
f3-0308,fix,(nada: repo ajeno)
f3-0309,feat,sveltejs/svelte
f3-0310,docs,nuxt/nuxt
f3-0311,docs,nuxt/nuxt
f3-0312,feat,(nada: repo ajeno)
f3-0313,feat,sveltejs/svelte
f3-0314,feat,angular/angular-cli
f3-0315,fix,(nada: repo ajeno)
f3-0316,docs,vitejs/vite
f3-0317,docs,(nada: repo ajeno)
f3-0318,refactor,vitest-dev/vitest
f3-0319,feat,vitest-dev/vitest
f3-0320,docs,(nada: repo ajeno)
f3-0321,docs,(nada: repo ajeno)
f3-0322,docs,(nada: repo ajeno)
f3-0323,docs,(nada: repo ajeno)
f3-0324,refactor,angular/angular-cli
f3-0325,fix,(nada: repo ajeno)
f3-0326,fix,angular/angular-cli
f3-0327,docs,(nada: repo ajeno)
f3-0328,feat,vitejs/vite
f3-0329,fix,(nada: repo ajeno)
f3-0330,docs,(nada: repo ajeno)
f3-0331,feat,(nada: repo ajeno)
f3-0332,fix,(nada: repo ajeno)
f3-0333,refactor,angular/angular-cli
f3-0334,docs,(nada: repo ajeno)
f3-0335,docs,nuxt/nuxt
f3-0336,fix,vitest-dev/vitest
f3-0337,docs,(nada: repo ajeno)
f3-0338,docs,(nada: repo ajeno)
f3-0339,fix,(nada: repo ajeno)
f3-0340,docs,(nada: repo ajeno)
f3-0341,fix,angular/angular-cli
f3-0342,refactor,vitest-dev/vitest
f3-0343,fix,nuxt/nuxt
f3-0344,feat,vitest-dev/vitest
f3-0345,feat,(nada: repo ajeno)
f3-0346,fix,(nada: repo ajeno)
f3-0347,refactor,(nada: repo ajeno)
f3-0348,fix,angular/angular-cli
f3-0349,fix,angular/angular-cli
f3-0350,fix,angular/angular-cli
