id,estrato,repo,sha,declarada,repeticion_de
f3-0119,B,angular/angular-cli,71e87fc332175c0fe4abb8105bb0747db40c9238,refactor,
f3-0120,B,angular/angular-cli,330235230c680709b312d1b33ce16b0f482f0b84,refactor,
f3-0121,B,angular/angular-cli,335ab5fb334c2b9cecbd3c3c4622d7d698aa32ba,refactor,
f3-0122,B,nuxt/nuxt,232b14e2f9708463148b08d9124e98303c12e9f3,docs,
f3-0123,A,hashicorp/hcl,2cbe9e4128cfe39fe77b4fbcc8a1642ccb683195,,
f3-0124,B,nuxt/nuxt,50d46f068ad74c2e2f35cc6b7043552b1ae7e69d,docs,
f3-0125,A,spf13/cobra,41fd44e1df83ad6acd8e14b304d5f2a2ae1d62f5,,
f3-0126,A,hashicorp/hcl,fc57429f6341146bdc136dbbe5320312552553da,,
f3-0127,B,nuxt/nuxt,37a5d35a6d81c03bc30be96bc6635c16433410c3,feat,
f3-0128,B,nuxt/nuxt,a08b435f51a2e054a708eb5dae283f74b8874450,refactor,
f3-0129,B,vitest-dev/vitest,61eb7dd9c929e5a27312ed141d88cade5e0b6c3a,feat,
f3-0130,A,rust-lang/rustfmt,ac8ae0062544743aaea1719a34f299b66f2b7dc9,,
f3-0131,B,vitest-dev/vitest,30c06d4367030436f48e1266b5189ce4d3e04d45,feat,
f3-0132,B,nuxt/nuxt,8cb9efa980411757ffb2021e7d6aa940ba9f3c13,fix,
f3-0133,B,vitejs/vite,8048f900908009757bd20d13ee4af90ce15cd32c,refactor,
f3-0134,A,hashicorp/hcl,cfde516d3c3e84e8d40283959ce5954024021f1b,,
f3-0135,B,vitest-dev/vitest,d41e46a811b2a40ddb2722faeafce89959213549,fix,
f3-0136,A,hashicorp/hcl,adb8823497f803aa9c25157529cb392c116fb7e8,,
f3-0137,B,angular/angular-cli,123f74d19d96195e268fd48abf29008015a7c5ec,feat,
f3-0138,A,python-poetry/poetry,2aab9bcd495e11e5f4491aa72a9510773cc4a90e,,
f3-0139,B,angular/angular-cli,944cbcdb1af62855febc931fce92debf28a3b2a5,fix,
f3-0140,B,angular/angular-cli,ce9bf81598f07eb7c0742368488cd14c09525161,refactor,
f3-0141,A,rust-lang/rustfmt,88944668fec947339291d04e6f0b9c4392cea937,,
f3-0142,B,vitest-dev/vitest,7719e79ee5b36abeb8bf55e108dc049d5af27293,fix,
f3-0143,B,vitest-dev/vitest,92d098cf3cc17d4591afaec9b3206825b3cf45c4,refactor,
f3-0144,A,hashicorp/hcl,baeb59c710717b06aac1dbe2270e8192ec593244,,
f3-0145,B,vitest-dev/vitest,c3cc6d8063f925d455adcd8c51fcfc838f6365d1,feat,
f3-0146,A,spf13/cobra,09d5664f34e3f7571560e48ccb74c8904b671e87,,
f3-0147,A,hashicorp/hcl,360ae579460fab69e9939599af85c8f255a59007,,
f3-0148,B,vitejs/vite,dafff4ae6eabf22b7f08a582f3663eb8a08bfc32,fix,
f3-0149,A,rust-lang/rustfmt,7d9ee7558e5992bb0929302109c97a2e3c267c86,,
f3-0150,B,angular/angular-cli,fc1164b5fd0bde5cdcab568cd77c0841be8de777,refactor,
f3-0151,B,vitest-dev/vitest,1716b61c525aded9525f9f8324645ac6c30fc098,feat,
f3-0152,A,rust-lang/rustfmt,9eb78a33335b83073c90dd8b065c31f1fb958dcc,,
f3-0153,A,rust-lang/rustfmt,f5c782f321572e7eece7d42c51a049c1ae825b5a,,
f3-0154,B,angular/angular-cli,d3648f2a0c02b3bd20d8eb941a4ab873653920af,docs,
f3-0155,B,angular/angular-cli,e49079d971a4e3d0de878a376de663b5020fd6de,refactor,
f3-0156,A,hashicorp/hcl,e54a1960efd6cdfe35ecb8cc098bed33cd6001a8,,
f3-0157,B,nuxt/nuxt,3753ea0ead7b24d58468ccced96870251ea91fbf,feat,
f3-0158,B,vitest-dev/vitest,bf5ad951d23079ca91595e518af565ff3c190a4e,feat,
f3-0159,A,spf13/cobra,993cc5372a05240dfd59e3ba952748b36b2cd117,,
f3-0160,A,python-poetry/poetry,dfb4904813220566de31fd061e117bf916044841,,
f3-0161,B,vitest-dev/vitest,1497134e4bcc77e61fc73fbfc713547cc8b74ceb,fix,
f3-0162,A,python-poetry/poetry,e975b13012f2606a80387752751633a9401fd5cf,,
f3-0163,A,python-poetry/poetry,5b1f55e1e8b83f5d41eae67265ab63d453cf5288,,
f3-0164,B,angular/angular-cli,d5fed32096b59e6eb534157a1672e12a921c6d27,refactor,
f3-0165,B,nuxt/nuxt,446cec7234592815fc5cd3734c30eaa37cf90c10,docs,
f3-0166,B,vitejs/vite,80071b2b83f1d7d2e54eca7266b2b844d4a6757c,refactor,
f3-0167,B,vitejs/vite,af8ca602031daa99692fc2e29f9d6330409e4bc8,feat,
f3-0168,A,python-poetry/poetry,5fc50555354ebb3b0ddaa7615d88cd60a46622f6,,
f3-0169,A,hashicorp/hcl,0cffcbd1d0f79869fbbcf0b0e5a2a4ec28964f77,,
f3-0170,A,rust-lang/rustfmt,a6b574bfa7a301405b64d54e7576d001fb22b7db,,
f3-0171,B,vitest-dev/vitest,5b51bf188b5726619859ff17b089e74487dba8c0,refactor,
f3-0172,A,spf13/cobra,221bae39865086cc5d0cfbd0c0c4d9853552a9d5,,
f3-0173,B,sveltejs/svelte,49a09081f0e65c73aec521455886b8b7de8a6a80,fix,
f3-0174,B,nuxt/nuxt,e890c9a64ba14d9622a58254fef0f20623df44d9,docs,
f3-0175,A,spf13/cobra,b167d9beaa463cfb33a22bda30e8aa043b77eb5c,,
f3-0176,A,rust-lang/rustfmt,4b0ed96f2eed2e49da2cceba550732ce9e7e461e,,
f3-0177,B,vitest-dev/vitest,49631396843b8454ee88da0e360a354bb9aaa174,docs,
f3-0178,A,python-poetry/poetry,bab5ad0ed661479fcd29bb6f31570413bfbb62bf,,
f3-0179,B,vitest-dev/vitest,6d536ce88cb1840887d20db3685d6e5b0c343f0b,docs,
f3-0180,A,hashicorp/hcl,84d75d846acd361d53c4a90a41e9dab37bb72398,,
f3-0181,B,vitejs/vite,262b5ec7ae4981208339b7b87fefbd3dd8465851,fix,
f3-0182,A,spf13/cobra,c2e21bdc104f9ef54bba066ae12ccedd0ae13d73,,
f3-0183,A,python-poetry/poetry,3716ea9b0bd57317cd8101f26a01f0ee451b2b22,,
f3-0184,B,vitejs/vite,e38be3e6ca7bf79319d5d7188e1d347b1d6091ef,fix,
f3-0185,A,python-poetry/poetry,e4dad2295f77e4845520ac6a141ac2fc9899e686,,
f3-0186,B,nuxt/nuxt,17513f4130c4feed5b0ce535368bbb44d698979c,fix,
f3-0187,A,python-poetry/poetry,4f1b0f8a4371c13a0c42cb940c66a5d46b587992,,
f3-0188,A,rust-lang/rustfmt,e2feea47bc568748af4bf58ba3f7d317708cd93b,,
f3-0189,A,rust-lang/rustfmt,789a097a7142e098069e9203f9c2da16267d8826,,
f3-0190,A,rust-lang/rustfmt,457dc79a35242826860f40ee4d6e5623a4071a5b,,
f3-0191,B,angular/angular-cli,8cf1254307600f49f31e30562b4ca128cffbf51a,refactor,
f3-0192,B,sveltejs/svelte,b04c5bb398e53cf075f1f91e224ef837850a5a0e,fix,
f3-0193,A,rust-lang/rustfmt,539d4d96651b3516a92d2590aa276a121311b3c5,,
f3-0194,A,spf13/cobra,c2c23ac0bdd41359a2a0a0f055d8eea7f2320f8d,,
f3-0195,B,nuxt/nuxt,918977b74f99a624457b2a39bf275d560b307e7c,docs,
f3-0196,B,vitejs/vite,26d987232aad389733a7635b92122bb1d78dfcad,refactor,
f3-0197,B,nuxt/nuxt,2aa4daab92aa592fff71bad52f0393b6759bb7a1,feat,
f3-0198,B,vitejs/vite,e303c4e9395e6770b1f00104f28dee03e37c26ac,fix,
f3-0199,B,vitejs/vite,9aea20f4a190e0e1c7edc656361d636cd6ce642f,refactor,
f3-0200,A,spf13/cobra,2fea75b02e2e18fab31f754b0f014944b3d9e42d,,
f3-0201,B,nuxt/nuxt,b279849631e6de73119d0682383befb8fa5d01f9,fix,
f3-0202,B,nuxt/nuxt,20c5662946654f39d73b898f87738a27f13c20e8,feat,
f3-0203,B,nuxt/nuxt,be8f99cbbe8edc6d44f0d955fe8f0beaebe00cd6,docs,
f3-0204,A,rust-lang/rustfmt,613dfcc521e07088dbd72a8dcf484f002139f453,,
f3-0205,B,vitest-dev/vitest,fb4500bec244ef6d3a32c314e92ee82c17c3d2ea,fix,
f3-0206,B,vitejs/vite,e4bcd59b2549801e55bbf41a92bd295288e27d0d,fix,
f3-0207,B,vitejs/vite,5491143be0b4214d2dab91076a85739d6d106481,fix,
f3-0208,A,hashicorp/hcl,f27fc87d8f129c587e4e8ba5b8c55b12f20976c0,,
f3-0209,B,angular/angular-cli,ebf90b3d6a9637805a94e7abea2f94b50a7de8c5,refactor,
f3-0210,B,vitejs/vite,6a144636d0653c9bd94b06df1b63e418d9015e3f,docs,
f3-0211,B,nuxt/nuxt,259cbe7f5e2e5d2f12041382f8da5b7f9ec084dd,fix,
f3-0212,A,spf13/cobra,9ed1d713d619c428c8a8adcd13667d6b3f54b247,,
f3-0213,A,hashicorp/hcl,4cae6d33fae101b48f1a0da62fecc64698cad2ff,,
f3-0214,B,vitest-dev/vitest,86ffc8ac608e14f94429cefe09a85be6aaef5f94,feat,
f3-0215,A,spf13/cobra,48e6ac4718b3f139d3bb28ace54986ca6889d1ca,,
f3-0216,B,angular/angular-cli,a5962ac62f8cdbbecb5edba1cf1ed7307de58689,refactor,
f3-0217,A,hashicorp/hcl,b00a1b045df3b56feff054156a166aed98301945,,
f3-0218,B,angular/angular-cli,18226c6f57fdabc54ec24ac3542a6209347e9761,refactor,
f3-0219,B,angular/angular-cli,3faa3b4648329d8ca067af91c6d318783de7bb82,refactor,
f3-0220,B,vitejs/vite,6d2dcb494db9f40565f11b50bdbb8c1b7245697d,feat,
f3-0221,A,rust-lang/rustfmt,d165533813b9b001afd78578c2a648efd393d6fb,,
f3-0222,A,hashicorp/hcl,8617b7c8c480eab7ae8945a0156f64e2c8c5ff06,,
f3-0223,A,rust-lang/rustfmt,a44c7ea5923caa8f908ae0fdd6563033a7ad88da,,
f3-0224,B,angular/angular-cli,7f67c64be1b84d4927bce882cb37cf323688dccc,fix,
f3-0225,A,spf13/cobra,00b68a1c260eaf2b9bcb10a3178d36cec81548ca,,
f3-0226,A,rust-lang/rustfmt,fb0e449ab33861e3939ad80c6b61f47d99f86e8b,,
f3-0227,A,hashicorp/hcl,b91cdb9e929ce525b01aaa3053876394f148329f,,
f3-0228,B,vitejs/vite,27f691b0c7dca2259108fe6b79583b459429bf7f,refactor,
f3-0229,B,vitejs/vite,050e01fea73bdb8bc05b1977af5632479b7486ae,docs,
f3-0230,B,angular/angular-cli,bdcbd40633c24a2c76944d8bfd37794db3c7ee54,refactor,
f3-0231,B,angular/angular-cli,9db7abd6bf74c92c909bc831dc8101449d858f96,refactor,
f3-0232,B,nuxt/nuxt,36ad29a67c3dde97d93128b3f452d5b85c9e05da,docs,
f3-0233,A,spf13/cobra,91dbcb7ffee662057bde52378f2a79381b4aef6b,,
f3-0234,B,angular/angular-cli,9b364c5eda4c589e077f497daf09b0ff90edc917,docs,
f3-0235,B,angular/angular-cli,8e86184e5932dd234c2af078eb9b018c231b2504,fix,
f3-0236,B,angular/angular-cli,7bc2e396d339bfa596f5e3b38f3067249344bb93,refactor,
f3-0237,A,python-poetry/poetry,fd78fd5356e2336d0c769a5817ff800490724414,,
f3-0238,A,python-poetry/poetry,534bec508fc342d4102126d521f5650277ad3723,,
f3-0239,B,angular/angular-cli,c417f9ac621502c4d2f2ddc47aadb60bdea7901d,docs,
f3-0240,B,vitejs/vite,dbe1f4aeadfb9f927f8cd0eec95a32aeee9c3601,feat,
f3-0241,B,vitest-dev/vitest,0eda99de95e74438581bbefbcc37660ed3132478,fix,
f3-0242,A,hashicorp/hcl,2c9d84a2cbbe8a226f1148f2571e240864ae0786,,
f3-0243,B,angular/angular-cli,7c1eede7d8b41f85f791ed8df0cca3f69a0a485c,refactor,
f3-0244,A,spf13/cobra,4dab30cb33e6633c33c787106bafbfbfdde7842d,,
f3-0245,B,sveltejs/svelte,9cb9692aea3dbf2915c1b5bae0fd71add500a6b9,fix,
f3-0246,B,sveltejs/svelte,64c162c6b7586d529fca27209c63762fbcb0e615,docs,
f3-0247,A,spf13/cobra,6de96b849c2b94c84e613eabbefe087e495ae787,,
f3-0248,A,hashicorp/hcl,314d2366eadcbd243f2988a535587d7fea94442e,,
f3-0249,A,spf13/cobra,94e552d8d69cdf5460ec7b2b5da63199c15f33f8,,
f3-0250,B,vitejs/vite,15b90b389030fa01e18292a272409f0309f089ac,feat,
f3-0251,B,sveltejs/svelte,66a21552f64eea77a46e22a46eb46d4ff010d949,feat,
f3-0252,B,sveltejs/svelte,f5406c952ed446c131eeef3da152c345bd952568,fix,
f3-0253,A,spf13/cobra,442031e4ff6962f955d49d1b1336a9064704c2e3,,
f3-0254,B,angular/angular-cli,0459d80bee43a8d0d7cc26201b6647bcf0f07437,refactor,
f3-0255,A,python-poetry/poetry,c5e54ad3babd65ebc07deb0b2f878fa787fb7c23,,
f3-0256,A,spf13/cobra,eb3b6397b1b5d1b0a2cd66a9afe0520f480c0a87,,
f3-0257,A,python-poetry/poetry,ae4f98125cf8d7ae5cffb1fc2f9aaa453d657e7a,,
f3-0258,A,spf13/cobra,b1ec2ce1ad4e6e09b859c2420ecf3230275e58b7,,
f3-0259,A,python-poetry/poetry,99a8a45a941d587da581869a20ab31a78d819c6e,,
f3-0260,A,python-poetry/poetry,8b9cf463b1c9300a4cc8065b366a9b6fc68b5952,,
f3-0261,B,sveltejs/svelte,a51b3df4aa4184c6c025f9f20fb51ff11791b398,feat,
f3-0262,B,vitest-dev/vitest,b35f42dbceb10c92fc01aff5e89bcf378253c7a0,fix,
f3-0263,A,python-poetry/poetry,50360f2dc96881398b428a08bd9288c4cc447d4e,,
f3-0264,A,rust-lang/rustfmt,6ecf5b8e844e5d8a35a21b1901e461033da0b9fa,,
f3-0265,B,angular/angular-cli,49a09737d5412c302d09b40de198251bb99789d1,feat,
f3-0266,B,angular/angular-cli,a99018cd7bb66ee53026e06deae6a14455023910,refactor,
f3-0267,A,spf13/cobra,9e1d6f1c2aa8df64b6a6ba39e92517f68580d653,,
f3-0268,B,vitejs/vite,64ba807f25df82e51eeacbc11d525df75cf84235,feat,
f3-0269,A,spf13/cobra,fb02817f3c2930f6a29c18a046759de969290022,,
f3-0270,B,nuxt/nuxt,e0deb2cd13fea2642a4400855fe2607dbc9e48f5,feat,
f3-0271,B,angular/angular-cli,cc2651c360bbdc54ff1b8e2ae5a50a0a0e03c0ed,fix,
f3-0272,B,sveltejs/svelte,8ff2af52d3381504c26feb6c00da9fa8281bfb1a,fix,
f3-0273,A,python-poetry/poetry,3175fb04940dfc060ec9345c726092f11cd91df6,,
f3-0274,B,nuxt/nuxt,dacde630634700172ccd54a1e4f1d0469b28bd30,feat,
f3-0275,B,vitest-dev/vitest,7d028cb37d3e964a37899559b640bcb3a13acda7,docs,
f3-0276,B,sveltejs/svelte,8578857332c27005866661a22734b1bf2d83b69f,fix,
f3-0277,B,vitest-dev/vitest,4968883ef0e2c56e96e4a7a7e25fceb95f73fcff,docs,
f3-0278,B,angular/angular-cli,08753138d336fb870a66face70f5624ba64b4c69,feat,
f3-0279,A,python-poetry/poetry,77003f157c72dad63c2a2fe2f5a974b16818aaca,,
f3-0280,A,python-poetry/poetry,ed104cd05467352178a975b65bb9d9356ec830d1,,
f3-0281,A,hashicorp/hcl,94940f55d64616740a05722fc7869b003c2c1c16,,
f3-0282,A,python-poetry/poetry,10957d5a19bb2636b8825ebde8a0281030d8584c,,
f3-0283,B,vitejs/vite,461f6c422542c5ab35c91c5be11394431f491628,docs,
f3-0284,A,rust-lang/rustfmt,50dfd064eb9f6c666e8ed992d31e739df8398f6b,,
f3-0285,B,vitest-dev/vitest,1ffafc0878db61c92ace581b11d926e4699ca079,refactor,
f3-0286,B,vitest-dev/vitest,ff58b617016538b6fb8e12f3b7b25f7e0e3a6c40,refactor,
f3-0287,A,python-poetry/poetry,1b79503356938d4dae93c2062584331b0c53ea8c,,
f3-0288,B,nuxt/nuxt,7664d1d4579923e6f3eecfe9b475eaf6eeb09d04,refactor,
f3-0289,A,spf13/cobra,9e6b58afc70c60a6b3c8a0138fb25acc734d47e3,,
f3-0290,A,python-poetry/poetry,2f6a5534794fd6dbf818a3a0f056e3b45886bdb0,,
